Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.036240167226131444,0.10529465998119533,0.04792080444944794,0.04444423376776939,0.04407069991663568,0.03922021484511822,0.054970208917441976,0.051895482116371294
0.06285512395931689,0.21554816332868423,0.0723752669971172,0.08875213707016553,0.08794260053216038,0.06828306441553854,0.08672330512038079,0.08088148535196256
0.15810768751945223,0.008040278269345696,0.05924304743217237,0.012513586466074944,0.010688612653760315,0.04167979002624672,0.08554524236009337,0.07665778335162252
0.06966538672517827,0.760148107515085,0.21530444322545256,0.42786615469007133,0.451865057597367,0.21777290181020295,0.2161272627537027,0.20117937465715852
0.09671584959543074,0.01591224867086936,0.0929186517917912,0.024316014667544746,0.020883243969527576,0.0699682763482552,0.12257437293408517,0.11101441598244352
0.12,0.14,0.26,0.14,0.1,0.12,0.24,0.2
0.17,0.16,0.22,0.16,0.11,0.16,0.21,0.2
0.155,0.12,0.21,0.15,0.075,0.135,0.235,0.22
0.204,0.096,0.214,0.144,0.078,0.154,0.224,0.218
0.179,0.088,0.214,0.134,0.092,0.201,0.182,0.188
0.152,0.0845,0.151,0.195,0.1055,0.168,0.2215,0.228
