Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.05591079984609188,0.11090535583875182,0.059280035442110315,0.050219167296209795,0.04976581230738968,0.056818407120532516,0.07201764531289497,0.0721885179109424
0.07835991648500264,0.19844033453290516,0.08472705154548554,0.08040817809778508,0.08084779761474233,0.09063863694183287,0.10123720255752908,0.10385309370648377
0.20319148936170212,0.008631625263887133,0.08457669025492369,0.01255663927501728,0.011443696453853085,0.0796047000233445,0.1157829839704069,0.11486025903203817
0.0777845652616575,0.7509672164528609,0.20199552026063938,0.39951130116065975,0.41641213602117694,0.20830788026878436,0.1912034208918754,0.20586438607208307
0.11250184067147695,0.01706708131159224,0.11923076923076921,0.02434802032724633,0.022275232555606386,0.11518973088616147,0.1442285538745104,0.14745132356158389
0.54,0.08,0.36,0.2,0.1,0.16,0.36,0.44
0.47,0.09,0.32,0.2,0.1,0.23,0.39,0.38
0.41,0.055,0.33,0.17,0.145,0.205,0.41,0.42
0.264,0.07,0.262,0.156,0.164,0.268,0.306,0.3
0.202,0.081,0.214,0.173,0.169,0.227,0.267,0.261
0.195,0.08,0.206,0.221,0.1965,0.2225,0.2415,0.2395
