Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.05022502656607828,0.10966034285494348,0.05962537000054595,0.051944306606770574,0.052166506445066076,0.044002198122329736,0.06544477914022936,0.06074917483070959
0.07114253962562718,0.19720825490828225,0.08626278521533745,0.08101624446089296,0.08550352406886205,0.0664680192027591,0.09456482113087812,0.08723394548237107
0.21775147928994082,0.008021121549449842,0.11337307389494995,0.012241527106985301,0.010577837469972373,0.07830195754893872,0.13302948297963252,0.12101081151491468
0.06957837020230667,0.7542068443940253,0.1905842314237096,0.44280582340707125,0.4437511816978635,0.1973908111174135,0.1765929287199849,0.17564757042919266
0.10545923484739933,0.015873426435681584,0.14217207334273624,0.023824419521375345,0.020663121566417808,0.11212544302437975,0.15174654752233957,0.1432978559308962
0.3,0.14,0.08,0.14,0.08,0.04,0.28,0.16
0.29,0.14,0.14,0.14,0.09,0.06,0.27,0.17
0.235,0.105,0.28,0.125,0.135,0.095,0.29,0.17
0.27,0.102,0.356,0.116,0.142,0.186,0.268,0.266
0.237,0.1,0.271,0.134,0.152,0.218,0.295,0.291
0.203,0.0975,0.227,0.245,0.212,0.179,0.2495,0.2355
