Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.07581920997526646,0.11686995171633933,0.08297632777943482,0.06238457881063958,0.07895719387935282,0.06555029256668526,0.09202660845174056,0.09504926323883979
0.11940584787522956,0.2222951275627551,0.14059423015653355,0.11900466607082005,0.12325095458655977,0.10623210292326633,0.14450661833367093,0.14148678938497225
0.2619047619047619,0.010295345231943396,0.1240809467124151,0.014906330090461654,0.013349566335990338,0.07818043588443994,0.13269961977186312,0.12896190753125908
0.09561846587571948,0.7606014331023141,0.20815223775402325,0.4721014918360155,0.47785739457300597,0.21743216257488546,0.20498061787853872,0.2083871725596147
0.14009121418122364,0.020315701291733473,0.15547951215232078,0.028900154603962176,0.02597352845403873,0.11500823262605239,0.16110418686239208,0.15932462167138173
0.4,0.16,0.4,0.26,0.2,0.34,0.32,0.64
0.45,0.11,0.38,0.23,0.26,0.28,0.34,0.59
0.42,0.115,0.37,0.185,0.275,0.275,0.335,0.585
0.488,0.098,0.38,0.206,0.244,0.294,0.52,0.466
0.425,0.1,0.405,0.199,0.242,0.295,0.428,0.402
0.323,0.1015,0.311,0.232,0.262,0.3185,0.3815,0.3535
