Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.05048271157698279,0.1079387918159226,0.05522245760845913,0.0517429937834078,0.04637172510318719,0.0395458808132984,0.06412475689764882,0.06419174607259888
0.07329077009736745,0.20657415314128436,0.08182343858758777,0.0846562975431112,0.08042301632520336,0.06293663709726399,0.09362903361262072,0.09366612447779797
0.19284467713787085,0.008149571514189151,0.0938495857233907,0.011417758042455924,0.010284957880492655,0.07515818106557862,0.10979847116052814,0.10370847520014724
0.06467661691542288,0.7720222417325139,0.1723734269827334,0.4458589405911618,0.4593210418495757,0.18598185542873866,0.16183786947614867,0.16491074041556922
0.09686609686609686,0.016128884337312566,0.12153100175384297,0.02226533527707445,0.020119408916250317,0.10705411665613813,0.13083338262258237,0.12733743856279306
0.42,0.06,0.2,0.18,0.14,0.2,0.28,0.28
0.39,0.05,0.23,0.16,0.18,0.19,0.28,0.23
0.305,0.065,0.23,0.155,0.18,0.17,0.275,0.27
0.282,0.08,0.19,0.156,0.148,0.174,0.314,0.302
0.219,0.081,0.218,0.179,0.135,0.135,0.295,0.311
0.199,0.0815,0.2485,0.262,0.221,0.1705,0.259,0.2805
