Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.040375989210143626,0.12490988228192049,0.048379310519595986,0.0386500768487054,0.043339182867086525,0.04093108113764911,0.05950269253456404,0.05617312160230442
0.060096530454759156,0.22354688534032555,0.06391223829754485,0.054320014525709545,0.07719948291512929,0.06000856554530226,0.07953047091457326,0.07497572144103833
0.1282820705176294,0.006922991896027133,0.08803413015507551,0.01163045319517264,0.009547101574786783,0.06861681136543014,0.11011614504831989,0.10633878873473457
0.05413105413105413,0.7534029756251979,0.205761316872428,0.44555238999683444,0.43621399176954734,0.22016460905349794,0.19658119658119658,0.2025957581513137
0.0761353517364203,0.01371991203115227,0.12331041024424948,0.02266916309315295,0.018685252481423224,0.10462579917262128,0.14116042507245555,0.1394715336420594
0.32,0.12,0.2,0.1,0.12,0.06,0.3,0.34
0.33,0.13,0.2,0.16,0.09,0.2,0.25,0.3
0.255,0.085,0.195,0.15,0.135,0.17,0.24,0.28
0.19,0.072,0.168,0.16,0.118,0.19,0.22,0.192
0.16,0.073,0.148,0.14,0.127,0.18,0.194,0.154
0.142,0.078,0.1515,0.195,0.1225,0.149,0.175,0.162
