Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,ADVO
0.1443058154188011,0.19171429689793515,0.18396798346088408,0.1735753047911267,0.2140028585499198,0.13090149096410858
0.2517125521014557,0.2540880995904032,0.32769092628530994,0.2888195774873292,0.33106243162031046,0.2132050692654353
0.13846153846153847,0.10133333333333333,0.10465116279069768,0.09578544061302682,0.11068702290076336,0.10176991150442478
0.20930232558139536,0.8837209302325582,0.627906976744186,0.5813953488372093,0.6744186046511628,0.5348837209302325
0.16666666666666669,0.18181818181818182,0.17940199335548174,0.1644736842105263,0.1901639344262295,0.17100371747211895
0.16,0.2,0.16,0.12,0.18,0.16
0.13,0.14,0.15,0.13,0.15,0.12
0.125,0.12,0.12,0.11,0.115,0.105
0.056,0.086,0.084,0.084,0.082,0.082
0.043,0.043,0.043,0.043,0.043,0.043
0.0215,0.0215,0.0215,0.0215,0.0215,0.0215
