Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.03197076184222713,0.11166479612277919,0.04130843439947212,0.03218299441225846,0.0348324619398237,0.028384747332225447,0.048698030437074984,0.04696300101199244
0.0584717756544344,0.19714359044091306,0.06983556512962279,0.06498764204391108,0.07136321302580549,0.04606784790564796,0.08543888827347444,0.07983652823983071
0.14904246461282264,0.005897316369423168,0.09643870154427986,0.008265619170017826,0.007324586526188554,0.05021094128224635,0.10846707249584947,0.10865298840321141
0.04394794991406825,0.7205990670267616,0.1502577952369261,0.39160324085440706,0.39872329977903265,0.17824699238890254,0.14436533267861526,0.14952123741713724
0.06788016685627607,0.01169889010018794,0.11747768499856032,0.01618952400769383,0.014384920634920634,0.07835096050075546,0.12386770591952814,0.1258524488530688
0.24,0.06,0.3,0.08,0.2,0.14,0.26,0.3
0.24,0.08,0.23,0.08,0.19,0.17,0.25,0.26
0.205,0.09,0.195,0.1,0.195,0.155,0.245,0.255
0.178,0.08,0.13,0.142,0.154,0.12,0.228,0.208
0.159,0.083,0.154,0.133,0.139,0.114,0.189,0.179
0.126,0.0825,0.149,0.124,0.1175,0.101,0.1495,0.1505
