Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.03586863571148295,0.11245853128709653,0.03333518293399161,0.03776698746290928,0.041242441588575915,0.0299409654043993,0.04880121734057138,0.047437784617936234
0.061550900029095315,0.21706513911075948,0.05305434236414101,0.07220722332181562,0.08213532546243936,0.04433269866796528,0.0789339091439899,0.07908235101602794
0.14421669106881405,0.0077997053444647645,0.06661935598332298,0.01415498212953144,0.012080520083002639,0.05943525125246698,0.113247515072511,0.10258370279773735
0.042004264392324096,0.7484008528784648,0.16012793176972281,0.3842217484008529,0.41087420042643924,0.16695095948827293,0.14818763326226012,0.14307036247334753
0.06505944517833553,0.015438513152425629,0.09409258911232224,0.02730406454789954,0.023470947546634344,0.08766233766233766,0.1283827468366122,0.11949069539666993
0.12,0.06,0.16,0.16,0.06,0.04,0.16,0.18
0.2,0.07,0.12,0.16,0.14,0.04,0.2,0.19
0.235,0.065,0.335,0.115,0.15,0.1,0.225,0.19
0.172,0.066,0.246,0.106,0.13,0.088,0.186,0.172
0.135,0.07,0.137,0.179,0.123,0.108,0.23,0.244
0.146,0.075,0.0685,0.177,0.18,0.1315,0.1895,0.1695
